Date,Open,High,Low,Close,Adj Close,Volume
2020-01-24,0.019378,0.019455,0.018560,0.019306,0.019306,1261945
2020-01-25,0.019308,0.019506,0.018957,0.019274,0.019274,986748
2020-01-26,0.019261,0.019568,0.018644,0.019551,0.019551,1077358
2020-01-27,0.019543,0.019408,0.018732,0.019185,0.019185,1235095
2020-01-28,0.019179,0.018846,0.018244,0.018846,0.018846,1257975
2020-01-29,0.018843,0.019196,0.018789,0.018789,0.018789,1151196
2020-01-30,0.018775,0.019588,0.018128,0.019423,0.019423,1325565
2020-01-31,0.019428,0.019828,0.018854,0.019267,0.019267,1254326
2020-02-01,0.019262,0.019573,0.019136,0.019555,0.019555,1231752
2020-02-02,0.019540,0.020663,0.019282,0.020185,0.020185,1504054
2020-02-03,0.020184,0.020814,0.020231,0.020430,0.020430,1333496
2020-02-04,0.020429,0.020816,0.020194,0.020613,0.020613,1275922
2020-02-05,0.020619,0.021512,0.019634,0.021244,0.021244,1546320
2020-02-06,0.021234,0.022056,0.020751,0.021824,0.021824,1688173
2020-02-07,0.021821,0.022779,0.021673,0.022737,0.022737,1702076
2020-02-08,0.022715,0.022969,0.021833,0.022620,0.022620,1697010
2020-02-09,0.022603,0.022721,0.022041,0.022594,0.022594,1485800
2020-02-10,0.022591,0.023252,0.022125,0.022677,0.022677,1644582
2020-02-11,0.022663,0.023172,0.021416,0.023104,0.023104,1661864
2020-02-12,0.023109,0.026380,0.022845,0.025703,0.025703,2377002
2020-02-13,0.025668,0.026800,0.025349,0.026247,0.026247,2525980
2020-02-14,0.026240,0.027643,0.025481,0.027562,0.027562,2284522
2020-02-15,0.027595,0.029033,0.026723,0.026769,0.026769,2394725
2020-02-16,0.026787,0.027468,0.024408,0.026161,0.026161,2531837
2020-02-17,0.026161,0.027586,0.025006,0.027488,0.027488,2685624
2020-02-18,0.027503,0.027921,0.027126,0.027800,0.027800,2614029
2020-02-19,0.027809,0.027865,0.026965,0.026965,0.026965,2354251
2020-02-20,0.026971,0.027365,0.026127,0.026846,0.026846,2417639
2020-02-21,0.026840,0.027491,0.026623,0.027420,0.027420,2154310
2020-02-22,0.027415,0.027470,0.026924,0.027148,0.027148,1749531
2020-02-23,0.027142,0.027584,0.027093,0.027584,0.027584,1973497
2020-02-24,0.027579,0.027688,0.027184,0.027483,0.027483,2321289
2020-02-25,0.027490,0.027511,0.026426,0.026528,0.026528,2342065
2020-02-26,0.026520,0.026698,0.025371,0.025586,0.025586,2974384
2020-02-27,0.025587,0.026565,0.024785,0.025813,0.025813,2919408
2020-02-28,0.025840,0.026350,0.025416,0.026147,0.026147,2601747
2020-02-29,0.026156,0.026522,0.025565,0.025565,0.025565,2114225
2020-03-01,0.025554,0.026015,0.025267,0.025573,0.025573,2123201
2020-03-02,0.025543,0.026231,0.025448,0.025995,0.025995,2289328
2020-03-03,0.025990,0.026112,0.025371,0.025545,0.025545,2259179
2020-03-04,0.025554,0.025918,0.025435,0.025644,0.025644,1892246
2020-03-05,0.025658,0.025650,0.025658,0.025253,0.025253,2004821
2020-03-06,0.025242,0.026706,0.025313,0.026695,0.026695,2123834
2020-03-07,0.026720,0.027332,0.026673,0.026695,0.026695,2180893
2020-03-08,0.026687,0.026687,0.024632,0.024752,0.024752,2637089
2020-03-09,0.024829,0.026024,0.024943,0.025492,0.025492,2984161
2020-03-10,0.025602,0.025291,0.025277,0.025382,0.025382,2319287
2020-03-11,0.025382,0.025581,0.024087,0.024631,0.024631,2146867
2020-03-12,0.024615,0.024624,0.022129,0.022601,0.022601,4452964
2020-03-13,0.022670,0.031934,0.022205,0.023941,0.023941,5008284
2020-03-14,0.024010,0.023907,0.023638,0.023711,0.023711,2449978
2020-03-15,0.023699,0.022706,0.023432,0.023221,0.023221,2358774
2020-03-16,0.023180,0.023180,0.022795,0.022057,0.022057,3187749
2020-03-17,0.022018,0.022289,0.022018,0.021805,0.021805,2313117
2020-03-18,0.021788,0.021795,0.021931,0.021923,0.021923,2217809
2020-03-19,0.021923,0.022250,0.021902,0.022063,0.022063,2648400
2020-03-20,0.022072,0.022126,0.020507,0.021413,0.021413,3058730
2020-03-21,0.021472,0.021350,0.021424,0.021474,0.021474,2212439
2020-03-22,0.021479,0.021445,0.021097,0.021152,0.021152,2143595
2020-03-23,0.021160,0.021026,0.021022,0.021026,0.021026,2205297
2020-03-24,0.021070,0.020967,0.020717,0.020604,0.020604,2169190
2020-03-25,0.020626,0.020531,0.020365,0.020385,0.020385,2010622
2020-03-26,0.020385,0.020657,0.020417,0.020600,0.020600,1692453
2020-03-27,0.020602,0.020624,0.020702,0.020702,0.020702,1761459
2020-03-28,0.020717,0.020717,0.020683,0.020984,0.020984,1948418
2020-03-29,0.020989,0.021036,0.021085,0.021206,0.021206,1678160
2020-03-30,0.021205,0.020663,0.021210,0.020670,0.020670,1841589
2020-03-31,0.020657,0.020828,0.020497,0.020749,0.020749,1718568
2020-04-01,0.020752,0.020530,0.020912,0.020530,0.020530,1885422
2020-04-02,0.020544,0.020739,0.020544,0.020906,0.020906,2255477
2020-04-03,0.020918,0.021005,0.020916,0.021103,0.021103,1958094
2020-04-04,0.021121,0.021202,0.020906,0.021146,0.021146,1739587
2020-04-05,0.021152,0.021246,0.021159,0.021137,0.021137,1661137
2020-04-06,0.021146,0.023278,0.021137,0.023259,0.023259,2975390
2020-04-07,0.023261,0.023654,0.022915,0.023006,0.023006,3018129
2020-04-08,0.023025,0.023578,0.022938,0.023540,0.023540,2326545
2020-04-09,0.023556,0.023559,0.023388,0.023392,0.023392,2040744
2020-04-10,0.023395,0.023429,0.022746,0.023074,0.023074,2619032
2020-04-11,0.023092,0.023275,0.022864,0.023067,0.023067,1976225
2020-04-12,0.023069,0.023119,0.022939,0.023116,0.023116,2169491
2020-04-13,0.023055,0.023059,0.022629,0.022831,0.022831,2405433
2020-04-14,0.022842,0.023159,0.022805,0.023032,0.023032,2151745
2020-04-15,0.023028,0.023230,0.023021,0.023078,0.023078,2133622
2020-04-16,0.023065,0.024359,0.022894,0.024190,0.024190,3219207
2020-04-17,null,null,null,null,null,null
2020-04-18,0.024185,0.025882,0.024185,0.025754,0.025754,2777798
2020-04-19,0.025747,0.025880,0.025128,0.025261,0.025261,2663083
2020-04-20,0.025243,0.025720,0.024871,0.025036,0.025036,3090208
2020-04-21,0.024995,0.025308,0.024949,0.025106,0.025106,2392150
2020-04-22,0.025096,0.025775,0.025012,0.025656,0.025656,2528332
2020-04-23,0.025659,0.025345,0.025430,0.024904,0.024904,2863597
2020-04-24,0.024930,0.025150,0.024930,0.025062,0.025062,2223384
2020-04-25,0.025058,0.025916,0.025047,0.025828,0.025828,2412302
2020-04-26,0.025814,0.025903,0.025610,0.025693,0.025693,2387459
2020-04-27,0.025713,0.025655,0.025103,0.025299,0.025299,2394965
2020-04-28,0.025306,0.025463,0.025100,0.025415,0.025415,2333466
2020-04-29,0.025421,0.024897,0.025420,0.024653,0.024653,2999368
2020-04-30,0.024646,0.024147,0.023922,0.023977,0.023977,3244097
2020-05-01,0.024011,0.024075,0.023997,0.024165,0.024165,2348209
2020-05-02,0.024166,0.023965,0.024097,0.023955,0.023955,2031560
2020-05-03,0.023958,0.023921,0.023592,0.023707,0.023707,2300546
2020-05-04,0.023702,0.023710,0.023014,0.023357,0.023357,2535995
2020-05-05,0.023339,0.023375,0.023029,0.022967,0.022967,2110912
2020-05-06,0.022935,0.022665,0.022014,0.022015,0.022015,2194850
2020-05-07,0.022000,0.021848,0.022090,0.021332,0.021332,2370969
2020-05-08,0.021323,0.021680,0.021259,0.021640,0.021640,2077195
2020-05-09,0.021655,0.021680,0.021805,0.022056,0.022056,1975271
2020-05-10,0.022051,0.022051,0.021731,0.021538,0.021538,2879207
2020-05-11,0.021542,0.021332,0.021580,0.021613,0.021613,2331443
2020-05-12,0.021609,0.021412,0.021616,0.021502,0.021502,1805868
2020-05-13,0.021509,0.021512,0.021325,0.021488,0.021488,1839772
2020-05-14,0.021455,0.021123,0.021184,0.020850,0.020850,2070177
2020-05-15,0.020851,0.020867,0.020902,0.020971,0.020971,1779802
2020-05-16,0.020970,0.021398,0.020988,0.021401,0.021401,1640083
2020-05-17,0.021394,0.021427,0.021372,0.021421,0.021421,1599712
2020-05-18,0.021423,0.021862,0.021378,0.022056,0.022056,1790103
2020-05-19,0.022064,0.022064,0.022004,0.021940,0.021940,1474575
2020-05-20,0.021939,0.021906,0.021968,0.022062,0.022062,1336785
2020-05-21,0.022065,0.022170,0.021769,0.022009,0.022009,1465390
2020-05-22,0.022004,0.022712,0.021907,0.022561,0.022561,1311352
2020-05-23,0.022564,0.022695,0.022469,0.022661,0.022661,1158122
2020-05-24,0.022664,0.022746,0.023022,0.023022,0.023022,1346167
2020-05-25,0.022978,0.023110,0.022901,0.023052,0.023052,1169319
2020-05-26,0.023045,0.023075,0.022828,0.022852,0.022852,1149936
